F1,F2,F3,F4,F5,F6,F7
a,news-20250421-02.html,01,0413-0413,000146426,000022087,000124339
a,news-20250421-02.html,02,0414-0414,000070488,000016828,000053660
a,news-20250421-02.html,03,0415-0415,000063719,000015938,000047781
a,news-20250421-02.html,04,0416-0416,000073869,000015166,000058703
a,news-20250421-02.html,05,0417-0417,000082692,000015040,000067652
a,news-20250421-02.html,06,0418-0418,000093908,000015187,000078721
a,news-20250421-02.html,07,0419-0419,000108773,000014692,000094081
a,news-20250428-01.html,01,0420-0420,000095524,000016142,000079382
a,news-20250428-01.html,02,0421-0421,000099638,000017352,000082286
a,news-20250428-01.html,03,0422-0422,000103729,000017099,000086630
a,news-20250428-01.html,04,0423-0423,000099140,000017795,000081345
a,news-20250428-01.html,05,0424-0424,000108888,000017376,000091512
a,news-20250428-01.html,06,0425-0425,000110759,000017591,000093168
a,news-20250428-01.html,07,0426-0426,000122102,000017299,000104803
a,news-20250505-02.html,01,0427-0427,000102015,000016985,000085030
a,news-20250505-02.html,02,0428-0428,000121282,000017465,000103817
a,news-20250505-02.html,03,0429-0429,000097559,000017813,000079746
a,news-20250505-02.html,04,0430-0430,000101397,000017621,000083776
a,news-20250505-02.html,05,0501-0501,000105945,000017548,000088397
a,news-20250505-02.html,06,0502-0502,000104805,000017741,000087064
a,news-20250505-02.html,07,0503-0503,000120696,000017886,000102810
a,news-20250512-02.html,01,0504-0504,000136805,000016289,000120516
a,news-20250512-02.html,02,0505-0505,000126371,000016804,000109567
a,news-20250512-02.html,03,0506-0506,000076517,000016935,000059582
a,news-20250512-02.html,04,0507-0507,000091688,000016932,000074756
a,news-20250512-02.html,05,0508-0508,000105449,000018578,000086871
a,news-20250512-02.html,06,0509-0509,000105782,000019813,000085969
a,news-20250512-02.html,07,0510-0510,000128918,000021373,000107545
a,news-20250526-01.html,01,0518-0518,000121927,000016404,000105523
a,news-20250526-01.html,02,0519-0519,000133661,000017441,000116220
a,news-20250526-01.html,03,0520-0520,000129506,000017856,000111650
a,news-20250526-01.html,04,0521-0521,000133581,000019012,000114569
a,news-20250526-01.html,05,0522-0522,000137767,000018026,000119741
a,news-20250526-01.html,06,0523-0523,000163509,000018264,000145245
a,news-20250526-01.html,07,0524-0524,000132105,000016373,000115732
a,news-20250602-01.html,01,0525-0525,000143752,000016746,000127006
a,news-20250602-01.html,02,0526-0526,000149197,000018174,000131023
a,news-20250602-01.html,03,0527-0527,000139790,000018875,000120915
a,news-20250602-01.html,04,0528-0528,000149383,000018852,000130531
a,news-20250602-01.html,05,0529-0529,000145291,000018578,000126713
a,news-20250602-01.html,06,0530-0530,000152666,000018599,000134067
a,news-20250602-01.html,07,0531-0531,000187762,000017839,000169923
a,news-20250609-01.html,01,0601-0601,000152473,000018970,000133503
a,news-20250609-01.html,02,0602-0602,000150131,000017780,000132351
a,news-20250609-01.html,03,0603-0603,000108130,000017423,000090707
a,news-20250609-01.html,04,0604-0604,000137675,000017965,000119710
a,news-20250609-01.html,05,0605-0605,000139576,000018046,000121530
a,news-20250609-01.html,06,0606-0606,000165243,000019094,000146149
a,news-20250609-01.html,07,0607-0607,000173305,000017808,000155497
a,news-20250616-01.html,01,0608-0608,000151565,000019040,000132525
a,news-20250616-01.html,02,0609-0609,000137452,000017886,000119566
a,news-20250616-01.html,03,0610-0610,000110260,000018217,000092043
a,news-20250616-01.html,04,0611-0611,000126489,000018144,000108345
a,news-20250616-01.html,05,0612-0612,000141488,000018683,000122805
a,news-20250616-01.html,06,0613-0613,000167424,000018567,000148857
a,news-20250616-01.html,07,0614-0614,000153590,000018119,000135471
a,news-20250623-01.html,01,0615-0615,000155099,000018338,000136761
a,news-20250623-01.html,02,0616-0616,000142427,000018022,000124405
a,news-20250623-01.html,03,0617-0617,000132133,000017213,000114920
a,news-20250623-01.html,04,0618-0618,000137356,000018277,000119079
a,news-20250623-01.html,05,0619-0619,000137110,000017998,000119112
a,news-20250623-01.html,06,0620-0620,000163355,000018801,000144554
a,news-20250623-01.html,07,0621-0621,000178484,000017514,000160970
a,news-20250630-03.html,01,0622-0622,000150279,000016926,000133353
a,news-20250630-03.html,02,0623-0623,000127557,000017463,000110094
a,news-20250630-03.html,03,0624-0624,000125851,000017481,000108370
a,news-20250630-03.html,04,0625-0625,000135352,000017751,000117601
a,news-20250630-03.html,05,0626-0626,000132737,000019235,000113502
a,news-20250630-03.html,06,0627-0627,000156426,000018721,000137705
a,news-20250630-03.html,07,0628-0628,000202819,000017829,000184990
a,news-20250721-01.html,01,0713-0713,000179512,000018710,000160802
a,news-20250721-01.html,02,0714-0714,000113067,000017337,000095730
a,news-20250721-01.html,03,0715-0715,000119461,000017317,000102144
a,news-20250721-01.html,04,0716-0716,000125357,000017685,000107672
a,news-20250721-01.html,05,0717-0717,000111303,000017490,000093813
a,news-20250721-01.html,06,0718-0718,000130031,000018004,000112027
a,news-20250721-01.html,07,0719-0719,000155958,000017781,000138177
a,news-20250728-03.html,01,0720-0720,000171971,000016821,000155150
a,news-20250728-03.html,02,0721-0721,000148627,000017291,000131336
a,news-20250728-03.html,03,0722-0722,000118531,000017397,000101134
a,news-20250728-03.html,04,0723-0723,000162001,000018819,000143182
a,news-20250728-03.html,05,0724-0724,000121933,000019920,000102013
a,news-20250728-03.html,06,0725-0725,000131194,000018602,000112592
a,news-20250728-03.html,07,0726-0726,000144306,000017503,000126803
a,news-20250804-03.html,01,0727-0727,000137860,000019009,000118851
a,news-20250804-03.html,02,0728-0728,000138087,000020580,000117507
a,news-20250804-03.html,03,0729-0729,000129336,000019832,000109504
a,news-20250804-03.html,04,0730-0730,000126173,000019561,000106612
a,news-20250804-03.html,05,0731-0731,000123742,000018358,000105384
a,news-20250804-03.html,06,0801-0801,000123223,000018531,000104692
a,news-20250804-03.html,07,0802-0802,000136320,000018047,000118273
a,news-20250811-01.html,01,0803-0803,000136134,000019342,000116792
a,news-20250811-01.html,02,0804-0804,000120607,000018383,000102224
a,news-20250811-01.html,03,0805-0805,000127093,000018324,000108769
a,news-20250811-01.html,04,0806-0806,000131191,000018855,000112336
a,news-20250811-01.html,05,0807-0807,000136068,000019294,000116774
a,news-20250811-01.html,06,0808-0808,000145058,000019146,000125912
a,news-20250811-01.html,07,0809-0809,000160350,000018216,000142134
a,news-20250818-02.html,01,0810-0810,000161641,000017350,000144291
a,news-20250818-02.html,02,0811-0811,000163441,000016393,000147048
a,news-20250818-02.html,03,0812-0812,000190088,000017752,000172336
a,news-20250818-02.html,04,0813-0813,000193554,000017707,000175847
a,news-20250818-02.html,05,0814-0814,000185240,000017693,000167547
a,news-20250818-02.html,06,0815-0815,000183854,000018203,000165651
