F1,F2,F3,F4,F5,F6,F7
a,news-20250421-02.html,01,0413-0413,000146426,000022087,000124339
a,news-20250421-02.html,02,0414-0414,000070488,000016828,000053660
a,news-20250421-02.html,03,0415-0415,000063719,000015938,000047781
a,news-20250421-02.html,04,0416-0416,000073869,000015166,000058703
a,news-20250421-02.html,05,0417-0417,000082692,000015040,000067652
a,news-20250421-02.html,06,0418-0418,000093908,000015187,000078721
a,news-20250421-02.html,07,0419-0419,000108773,000014692,000094081
a,news-20250428-01.html,01,0420-0420,000095524,000016142,000079382
a,news-20250428-01.html,02,0421-0421,000099638,000017352,000082286
a,news-20250428-01.html,03,0422-0422,000103729,000017099,000086630
a,news-20250428-01.html,04,0423-0423,000099140,000017795,000081345
a,news-20250428-01.html,05,0424-0424,000108888,000017376,000091512
a,news-20250428-01.html,06,0425-0425,000110759,000017591,000093168
a,news-20250428-01.html,07,0426-0426,000122102,000017299,000104803
a,news-20250505-02.html,01,0427-0427,000102015,000016985,000085030
a,news-20250505-02.html,02,0428-0428,000121282,000017465,000103817
a,news-20250505-02.html,03,0429-0429,000097559,000017813,000079746
a,news-20250505-02.html,04,0430-0430,000101397,000017621,000083776
a,news-20250505-02.html,05,0501-0501,000105945,000017548,000088397
a,news-20250505-02.html,06,0502-0502,000104805,000017741,000087064
a,news-20250505-02.html,07,0503-0503,000120696,000017886,000102810
a,news-20250512-02.html,01,0504-0504,000136805,000016289,000120516
a,news-20250512-02.html,02,0505-0505,000126371,000016804,000109567
a,news-20250512-02.html,03,0506-0506,000076517,000016935,000059582
a,news-20250512-02.html,04,0507-0507,000091688,000016932,000074756
a,news-20250512-02.html,05,0508-0508,000105449,000018578,000086871
a,news-20250512-02.html,06,0509-0509,000105782,000019813,000085969
a,news-20250512-02.html,07,0510-0510,000128918,000021373,000107545
a,news-20250519-01.html,01,0511-0511,000121667,000018268,000103399
a,news-20250519-01.html,02,0512-0512,000117658,000017856,000099802
a,news-20250519-01.html,03,0513-0513,000123640,000018087,000105553
a,news-20250519-01.html,04,0514-0514,000129527,000017668,000111859
a,news-20250519-01.html,05,0515-0515,000129456,000017762,000111694
a,news-20250519-01.html,06,0516-0516,000132817,000017700,000115117
a,news-20250519-01.html,07,0517-0517,000123974,000016464,000107510
a,news-20250526-01.html,01,0518-0518,000121927,000016404,000105523
a,news-20250526-01.html,02,0519-0519,000133661,000017441,000116220
a,news-20250526-01.html,03,0520-0520,000129506,000017856,000111650
a,news-20250526-01.html,04,0521-0521,000133581,000019012,000114569
a,news-20250526-01.html,05,0522-0522,000137767,000018026,000119741
a,news-20250526-01.html,06,0523-0523,000163509,000018264,000145245
a,news-20250526-01.html,07,0524-0524,000132105,000016373,000115732
a,news-20250602-01.html,01,0525-0525,000143752,000016746,000127006
a,news-20250602-01.html,02,0526-0526,000149197,000018174,000131023
a,news-20250602-01.html,03,0527-0527,000139790,000018875,000120915
a,news-20250602-01.html,04,0528-0528,000149383,000018852,000130531
a,news-20250602-01.html,05,0529-0529,000145291,000018578,000126713
a,news-20250602-01.html,06,0530-0530,000152666,000018599,000134067
a,news-20250602-01.html,07,0531-0531,000187762,000017839,000169923
b,news-20250421-02.html,08,0413-0419,000639875,000114938,000524937
b,news-20250428-01.html,08,0420-0426,000739780,000120654,000619126
b,news-20250505-02.html,08,0427-0503,000753699,000123059,000630640
b,news-20250512-02.html,08,0504-0510,000771530,000126724,000644806
b,news-20250519-01.html,08,0511-0517,000878739,000123805,000754934
b,news-20250526-01.html,08,0518-0524,000952056,000123376,000828680
b,news-20250602-01.html,08,0525-0531,001067841,000127663,000940178
